date,category,merchant,description,amount,currency,source,bill_photo
2026-01-05,Groceries,REWE,Weekly groceries,87.50,EUR,csv,
2026-01-08,Transport,DB Bahn,Monthly train pass,89.00,EUR,csv,
2026-01-10,Dining,Vapiano,Lunch with team,18.40,EUR,csv,
2026-01-12,Health,DM Drogerie,Pharmacy & toiletries,34.20,EUR,csv,
2026-01-15,Groceries,Aldi,Top-up shopping,42.10,EUR,csv,
2026-01-18,Leisure,Netflix,Monthly subscription,15.99,EUR,csv,
2026-01-20,Utilities,Stadtwerke Frankfurt,Electricity bill,64.00,EUR,csv,
2026-01-22,Dining,Bäckerei Schmidt,Breakfast,6.80,EUR,csv,
2026-01-25,Groceries,Lidl,Weekly groceries,61.30,EUR,csv,
2026-01-28,Leisure,Städel Museum,Museum entry,16.00,EUR,csv,
2026-02-03,Groceries,REWE,Weekly groceries,92.40,EUR,csv,
2026-02-05,Transport,MVG,Bus top-up,20.00,EUR,csv,
2026-02-07,Dining,Apfelwein Wagner,Dinner out,38.60,EUR,csv,
2026-02-10,Health,AOK,Health insurance,110.00,EUR,csv,
2026-02-14,Leisure,Amazon Prime,Subscription,8.99,EUR,csv,
2026-02-16,Groceries,Aldi,Weekly groceries,55.70,EUR,csv,
2026-02-18,Utilities,Telekom,Internet & phone,49.99,EUR,csv,
2026-02-20,Dining,Starbucks,Coffee meetings,22.50,EUR,csv,
2026-02-22,Groceries,Kaufland,Shopping,78.90,EUR,csv,
2026-02-25,Leisure,Spotify,Music subscription,9.99,EUR,csv,
2026-03-02,Groceries,REWE,Weekly groceries,95.20,EUR,csv,
2026-03-05,Transport,DB Bahn,Monthly train pass,89.00,EUR,csv,
2026-03-08,Dining,Metropol Bistro,Business lunch,45.00,EUR,csv,
2026-03-10,Health,Apotheke,Medication,28.50,EUR,csv,
2026-03-12,Leisure,Kino,Movie night,14.00,EUR,csv,
2026-03-15,Groceries,Lidl,Weekly groceries,67.80,EUR,csv,
2026-03-18,Utilities,Stadtwerke Frankfurt,Gas bill,52.00,EUR,csv,
2026-03-20,Dining,Thai Garden,Takeaway,23.90,EUR,csv,
2026-03-25,Groceries,Edeka,Organic groceries,112.30,EUR,csv,
2026-03-28,Leisure,Gym membership,FitX,29.99,EUR,csv,
2026-04-01,Groceries,REWE,Weekly groceries,88.60,EUR,csv,
2026-04-04,Transport,MVG,Bus top-up,20.00,EUR,csv,
2026-04-07,Dining,Frankfurter Küche,Dinner,52.00,EUR,csv,
2026-04-09,Health,Zahnarzt,Dental check,80.00,EUR,csv,
2026-04-12,Groceries,Aldi,Weekly groceries,49.30,EUR,csv,
2026-04-15,Utilities,Telekom,Internet & phone,49.99,EUR,csv,
2026-04-18,Leisure,Book store,Books & magazines,34.50,EUR,csv,
2026-04-20,Dining,Café Metropol,Brunch,28.70,EUR,csv,
2026-04-23,Groceries,Lidl,Weekly groceries,72.40,EUR,csv,
2026-04-26,Leisure,Taunus thermal,Spa day,35.00,EUR,csv,
